ID	MSLG	SPA
220.0	PEZ COLOR AZUL MI FAVORITO	Los peces azules son mis favoritos.
749.0	YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER	Estoy feliz, mi hijo ya tiene licencia de conducir.
180.0	SU LIBRO MATEMÁTICAS USTEDES SACAR	Saquen su libro de Matemáticas.
239.0	YO NECESITAR PAPEL PARA AGUA ABSORBER	Necesito papel para absorber el agua.
673.0	dm-ISABEL TENER SU CORONA ORO	Isabel tiene una corona de oro.
659.0	ESTE JUGUETE BARATO	Este juguete está barato.
402.0	¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?	¿Le pusiste atención a tu maestra?
132.0	MI MAMÁ USA CREMA-DE-COSMÉTICO	Mi mamá usa crema para la cara.
568.0	SIEMPRE BEBÉ EXPRESAR EXPRESAR	El bebé siempre es muy expresivo.
613.0	AYER MI TIO SAN FRANCISCO YA LLEGAR	Ayer llegó mi tío de San Francisco.
520.0	A-FUERZA TÚ DEBER TÚ PAGAR MÍ	Debes pagarme a fuerza.
258.0	ESA ANTENA CARA VERDAD	Esa antena es muy cara.
638.0	TEPITO LUGAR FAMOSO	Tepito es un lugar muy conocido.
666.0	YO YA GANAR CAMPEONATO	Yo gané el campeonato.
308.0	SACAR-COPIA TÚ DEBER	Debes sacar una copia.
316.0	YA ÉL ARRESTADO ESO FEO VERDAD	Él fue arrestado, qué feo.
372.0	MI SOBRINO ALTO	Mi sobrino es muy alto.
560.0	SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER	El hijo de mi vecino siempre es muy desobediente.
884.0	MI HIJO+MUJER ELLA GUSTAR PATO MUCHO	A mi hija le gustan los patos.
310.0	SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER	Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.
121.0	DOMINGO YO CONFIRMACIÓN YO IR	Iré a una confirmación el domingo.
264.0	¿TÚ YA CONOCER ARGENTINA?	¿Tú ya conoces Argentina?
703.0	ÁFRICA ADENTRO GHANA	Ghana está en África.
270.0	AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO	Tú tienes unos audífonos, ¿me los prestas?
143.0	CHAPULTEPEC YO YA VER ALGUNO DELFÍN	En Chapultepec vi algunos delfines.
922.0	MAESTRA MATEMÁTICAS MUCHAS BROMAS	La maestra de matemáticas dice muchas bromas.
620.0	¿TÚ DECIR ESO SEGURO?	¿Estás seguro de lo que dices?
445.0	AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR	Mi primo se peleó conmigo ayer.
629.0	MI SUEGRO TRABAJO TRABAJO	Mi suegro es muy trabajador.
553.0	YO OLVIDAR CONTRASEÑA	Olvidé mi contraseña.
669.0	ÚNICO MUJER TENER SU CLITORIS	Sólo las mujeres tienen clítoris.
427.0	CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA	En Canadá están las Cataratas del Niágara, que son hermosas.
503.0	HOY NUEVO SACERDOTE YO YA CONOCER ÉL	Hoy conocí al nuevo sacerdote.
773.0	ESE ELEFANTE OREJÓN CHISTOSO	Ese elefante orejón es muy chistoso.
224.0	dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO	Alondra le prometió a su mamá ser médico.
383.0	MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA	Mis amigos argentinos estudiaron antropología.
877.0	CUADERNO YO NECESITAR	Necesito un cuaderno.
890.0	YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ	Mi papá nos abandonó en México.
475.0	CHUPÓN DEBE DAR BEBÉ	Dale el chupón al bebé.
109.0	MI HERMANO TENER DIENTE DIENTE CHUECO	Mi hermanito tiene los dientes chuecos.
859.0	AYER COCA-COLA YO COMPRAR	Yo compré una Coca Cola ayer.
478.0	AHORITA NIÑO DIOS YA MECER	Es hora de mecer al niño Dios.
601.0	EJERCER-REMAR AYUDA CUERPO SANO	Remar es un ejercicio que ayuda a la salud.
820.0	TUS OJOS HERMOSOS COLOR CAFÉ	Tú tienes unos hermosos ojos color café.
292.0	AYER NOCHE METRO CAOS	Anoche el metro era un caos.
407.0	MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO	La hija de mi vecina tiene autismo.
542.0	CARRETILLA-DE-CARGA COSTALES LLEVAR	Lleva los costales en la carretilla.
215.0	LLOVER TARDE PARECE	Al parecer va a llover en la tarde.
869.0	¿TÚ CONTESTAR MI PREGUNTA PODER?	¿Puedes contestar mi pregunta?
624.0	SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR	El senador explica por qué la gasolina está cara.
840.0	¿TÚ YA CENAR?	¿Ya cenaste?
464.0	CREDENCIAL VOTAR HABER MI HUELLA	La credencial del INE tiene mi huella.
417.0	MI PUERTA COLOR AZUL YO YA PINTAR	Pinté mi puerta de color azul.
441.0	PLAYA MUCHOS COCOS YO ENCONTRAR YA	En la playa encontré muchos cocos.
583.0	PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR	Nosotros viajaremos el próximo año al Lago de Pátzcuaro.
908.0	YO TENER-CULPA	Yo no tengo la culpa.
932.0	NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO	No te he visto desde la última navidad.
844.0	10 MAÑANA NOS-VEMOS METRO CHABACANO	Nos vemos en el metro chabacano a las 10 de la mañana
559.0	VACUNAS PROTEGER ENFERMEDAD	Las vacunas te protegen de las enfermedades.
66.0	BARRERAS COMUNICACIÓN QUITAR PODER	Las barreras de comunicación pueden eliminarse.
973.0	dm-EDGAR MAESTRO	Edgar es maestro.
41.0	dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO	Sofía se aprovechó del apoyo de sus papás.
733.0	JAPÓN ESE ISLA BONITO	Japón es una isla bonita.
800.0	ESO FEO PARECE VULGAR	Eso es feo, parece vulgar.
720.0	MI TÍO GUATEMALA VIVIR	Mi tío vive en Guatemala.
13.0	¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!	¡Rompí el jarrón, perdón, fue un accidente!
672.0	SIEMPRE NIÑO SUEÑO	El niño siempre tiene sueño.
141.0	BLOQUEAR PROTEGER SOL	El bloqueador me protege del sol.
57.0	BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO	Las playas de Baja California Sur son muy limpias.
415.0	ADORNAR NAVIDAD MI ABUELO AYUDAR	Mi abuelo ayuda a la colecta navideña.
655.0	12% SUELDO YA AUMENTAR	Aumentó el sueldo en un 12%.
785.0	DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA	Diario manejo mi auto, debo ponerle gasolina.
647.0	WINDSURF NECESITAR VIENTO MAR	El windsurf necesita del aire para deslizarse.
323.0	MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR	Debes esforzarte mucho para alcanzar tu meta.
697.0	YO GUSTAR GALLETA DIFERENTE GAMESA	Me gustan las galletas Gamesa.
635.0	TAIWÁN ISLA	Taiwán es una isla.
450.0	SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE	Tu control de videojuego se descompuso la semana pasada.
184.0	MESA NUEVA YO QUERER	Quiero una mesa nueva.
430.0	CESÁREA YO NACER YA	Yo nací por cesárea.
668.0	CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR	MI Mí familia y yo fuimos a Celaya.
518.0	MUJER TENER VÁGINA	Las mujeres tienen vágina.
811.0	CASA AZOTEAarriba YO LIMPIAR YA	Yo limpié la azotea de la casa.
682.0	NUEVO CD YO YA PERDER	Perdí mi nuevo CD.
486.0	OTRO LIBRO YO TENER	Tengo otro libro.
259.0	APAGAR LUZ POR-FAVOR	Por favor, apaga la luz.
612.0	PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO	Quiero ir a estudiar el próximo año la universidad en San Diego.
510.0	PONTE-SUDADERA NOSOTROS IR CORRER	Vamos a correr ponte la sudadera.
685.0	EFECTIVO NINGÚN YO TRAER	No traigo efectivo.
